difficulty,question,choice_a,choice_b,choice_c,choice_d,correct_choice,explanation,concept_key,aspect_key,source_path
easy,What is a hub?,A Layer 2 device that forwards frames based on destination MAC addresses,A Layer 3 device that routes traffic between different IP subnets,A Layer 1 device that repeats incoming electrical signals out all other ports,A device that manages VLAN assignments across multiple switches,C,A hub is a Layer 1 device. It simply repeats an incoming electrical signal out every other port without inspecting frame contents or caring about the intended destination.,hub definition,hub repeats signals out all ports without inspecting frame contents,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
hard,What is the full sequence of DTP negotiation outcomes for all three mode combinations and what is the hardcoded trunk caveat?,Auto+Auto forms a trunk; Desirable+Auto does not; Desirable+Desirable forms a trunk; hardcoded trunks never send DTP,Auto+Auto forms a trunk; Desirable+Auto forms a trunk; Desirable+Desirable forms a trunk; hardcoded trunks suppress all DTP messages,Auto+Auto does not form a trunk; Desirable+Auto forms a trunk; Desirable+Desirable forms a trunk; hardcoded trunks may still send DTP frames unless switchport nonegotiate is added,Auto+Auto forms a trunk only if VLANs match; Desirable+Auto always forms a trunk; Desirable+Desirable requires VTP server acknowledgment,C,DTP outcomes: Auto+Auto = no trunk (neither side negotiates). Desirable+Auto = trunk (desirable initiates; auto accepts). Desirable+Desirable = trunk (both negotiate). Hardcoded (switchport mode trunk): port is a trunk but Cisco IOS may still send DTP frames. switchport nonegotiate suppresses all DTP messages from hardcoded trunk ports.,dtp negotiation outcomes,auto-auto no trunk; desirable-auto trunk; desirable-desirable trunk; hardcoded still sends dtp,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
hard,How does VTP's revision number system become a catastrophic risk when a used switch is added to a production network?,VTP revision numbers cause the switch to block all trunk links until a new election cycle completes disrupting production traffic,VTP revision numbers are only used for authentication; a used switch with a known revision number cannot affect the VLAN database,A used switch with a higher VTP revision number will push its VLAN database to all VTP client switches in the domain overwriting the production VLAN database and potentially deleting all existing VLANs causing widespread outages,VTP revision numbers only affect newly created VLANs; existing production VLANs are protected from overwrite by the revision system,C,VTP uses revision numbers to determine which database is most recent. VTP clients accept the highest revision number they see. If a used switch with many prior VLAN configurations has a higher revision number it becomes the authoritative source — all VTP clients adopt its VLAN database. If that database lacks production VLANs they are deleted causing switch ports to lose VLAN assignments. Mitigation: reset revision number to 0 by changing VTP domain before connecting to production.,vtp limitation,used switch with higher revision number can overwrite production vlan database via vtp,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
hard,Explain why SSH public key authentication is more secure than password authentication for managing network infrastructure.,Public key authentication uses longer key lengths than passwords making brute force slower but both are equally vulnerable to packet capture,Public key authentication is more convenient but no more secure; the private key is transmitted to the server during authentication,Public key authentication eliminates the transmission of a secret over the network entirely — the server verifies a mathematical challenge using the stored public key; the private key never leaves the client device; even a fully captured session reveals nothing that can be used to authenticate,Public key authentication is less secure because anyone with the public key can impersonate the administrator,C,Password auth: the password is sent to the server (encrypted in SSH but still transmitted). A compromised server could expose it. Public key auth: the server stores only the public key. Authentication works by the client proving possession of the private key via a mathematical challenge-response. The private key never leaves the client. Even if the server is compromised the public key cannot be used to authenticate anywhere else.,ssh authentication methods,public key auth proves possession without transmitting the secret; password is transmitted,/home/citadel/Documents/citavault/NETC-121/Notes List A - Video Content/Video 10 - Telnet and SSH/Transcript.md
hard,An IP phone and a PC both connect through one switch port. The switch is configured with access VLAN 10 for data and voice VLAN 50 for voice. The IP phone is not tagging traffic. What will happen and how is this diagnosed?,The phone's untagged traffic will be placed in VLAN 10 with the PC traffic; voice quality will degrade due to shared bandwidth,The phone and PC traffic will be blocked because the switch requires tagged traffic on all ports with a voice VLAN configured,The phone's untagged traffic will be placed in VLAN 50 automatically because the voice VLAN is always the higher priority,The switch will err-disable the port because untagged traffic from the phone conflicts with the PC data VLAN,A,If the IP phone does not send tagged voice traffic (misconfiguration; wrong firmware; or CDP not working to inform the phone) all of its traffic will be untagged and fall into the data VLAN 10 along with the PC. Voice and data will share the same VLAN and QoS queue. Diagnosis: check show interfaces <id> for voice VLAN and verify the phone's VLAN assignment with show cdp neighbors.,voice vlan and phone behavior,ip phone sending untagged traffic falls into data vlan degrading voice quality,/home/citadel/Documents/citavault/NETC-121/Notes List A - Video Content/Video 17 - Trunking and 802.1Q/Transcript.md
hard,A frame arrives on a trunk port tagged with VLAN 40 but VLAN 40 is not in the switch's VLAN database. What does the switch do and what administrative action caused this?,The switch forwards the frame to all ports and lets hosts determine if VLAN 40 applies to them,The switch creates VLAN 40 dynamically so the frame is delivered correctly,The switch drops the frame; VLAN 40 traffic was likely allowed on the trunk because it was not pruned; the administrator forgot to create VLAN 40 on this switch after creating it on the VTP server,The switch sends the frame to the router on the native VLAN for VLAN 40 resolution,C,If a VLAN exists on the trunk's allowed list but is not created in the switch's VLAN database the switch drops frames for that VLAN — it has no VLAN membership to associate the traffic with. This can happen when VTP propagation fails or when the admin manually creates a VLAN on a server but VTP sync did not complete. Fix: create VLAN 40 on this switch.,vlan creation method,frames for uncreated vlans are dropped even if the vlan id is allowed on the trunk,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
hard,Compare the Layer 2 impact of replacing a hub with a switch on a 24-device segment in terms of collision domains; concurrent sessions; and device privacy.,Both hub and switch have 24 collision domains; the switch improves privacy by encrypting inter-device traffic,Hub: 1 collision domain; at most 1 concurrent session (CSMA/CD); all devices see all traffic. Switch: 24 collision domains; up to 12 concurrent full-duplex sessions; each frame goes only to the destination port improving privacy,Hub: 1 collision domain; all devices visible to each other. Switch: 1 collision domain; frames still reach all devices but privacy is improved by limiting flooding,Hub and switch have identical collision domains; the switch improvement is speed only,B,Hub: all 24 devices in 1 collision domain; CSMA/CD allows only 1 transmission at a time across the entire segment; all devices receive all traffic (privacy risk). Switch: 24 separate collision domains (1 per port link); multiple simultaneous point-to-point sessions; frames sent only to destination port protecting privacy and multiplying available bandwidth.,switch vs hub impact,switch creates 24 collision domains enables concurrent sessions and limits frame visibility,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
hard,An attacker plugs into a switch port in DTP desirable mode and sends DTP negotiate frames. What sequence of events leads to VLAN hopping access and what is the most effective mitigation?,The attacker gains access to VLAN 1 only because trunk negotiation always places the attacker in the native VLAN regardless of tag crafting,DTP desirable mode cannot form a trunk without administrator confirmation so the attack fails at the negotiation phase,Attacker sends DTP frames; port in desirable mode accepts and transitions to trunk mode; attacker configures 802.1Q on their device; attacker sends and receives tagged frames for all VLANs on the trunk; mitigation: configure switchport mode access on all end-user ports,The attacker can form a trunk only if the VTP domain name matches; changing the VTP domain name mitigates trunk negotiation attacks,C,Attack sequence: (1) attacker sends DTP negotiation frames from rogue device; (2) switch port in desirable mode responds and both sides agree to trunk; (3) attacker configures 802.1Q on their NIC or software; (4) attacker receives all VLAN traffic on the trunk. Mitigation: switchport mode access disables DTP entirely on that port — no negotiation is possible.,vlan hopping attack,dtp desirable port negotiates trunk with attacker; fixed by hard-coding access mode,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
hard,How does ARP interact with the switch MAC table in a scenario where Host A (192.168.1.10) sends the first packet ever to Host B (192.168.1.20) both in VLAN 10?,Host A sends IP packet directly; the switch routes it using the destination IP ignoring MAC,Host A sends a unicast ARP request to Host B's IP; the switch forwards it directly using MAC; Host B responds,Host A broadcasts an ARP request with destination MAC FF-FF-FF-FF-FF-FF asking who has 192.168.1.20; the switch floods it within VLAN 10; Host B replies with its MAC; the switch learns Host B's MAC on its port; Host A now has Host B's MAC and sends the unicast IP packet directly,Host A sends the IP packet to the router default gateway which ARP-resolves Host B's MAC and delivers it,C,ARP-to-switch interaction: (1) Host A has no MAC for 192.168.1.20; broadcasts ARP (dst FF:FF:FF:FF:FF:FF) in VLAN 10; (2) switch sees ARP on Host A's port — learns Host A MAC; floods ARP out all VLAN 10 ports; (3) Host B receives ARP; replies unicast to Host A MAC — switch learns Host B MAC on its port; (4) Host A now has Host B's MAC; sends unicast frame; switch forwards directly.,arp broadcast behavior,arp broadcast triggers flooding then learning so future unicast frames are forwarded directly,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
hard,A company grows from one switch to five switches with a shared inter-switch trunk infrastructure. All switches are in one large flat VLAN 1. What performance and security problems emerge and what is the solution?,The primary problem is switch CPU overload from managing five separate MAC tables; VLANs fix this by merging MAC tables,Flat VLAN 1 across five switches means one large broadcast domain; all ARP; DHCP; and broadcast traffic from all hosts reaches all devices simultaneously consuming bandwidth; any host can sniff or spoof any other at Layer 2; solution is to segment into multiple VLANs with routers providing inter-VLAN routing,Flat VLAN 1 causes spanning-tree instability because all five switches compete for root bridge; VLANs fix this by running per-switch spanning tree,Flat VLAN 1 forces all five switches into DTP auto mode creating uncontrolled trunk negotiation across the domain,B,Five switches in one flat VLAN 1: broadcasts (ARP; DHCP; etc.) flood all five switches reaching every host regardless of department. A sniffer anywhere captures all broadcast traffic and potentially unicast too (via ARP poisoning). Performance: as hosts grow broadcasts consume a growing share of bandwidth. Solution: segment into multiple VLANs matching department boundaries with routers/Layer 3 switches handling inter-VLAN traffic.,broadcast overhead problem,flat vlan 1 across all switches creates large broadcast domain with security and performance problems,/home/citadel/Documents/citavault/NETC-121/Notes List A - Video Content/Video 16 - VLANs Made Easy/Transcript.md
hard,What are the exact Layer 2 events when Host A on SW1 sends traffic to Host B on SW2 both in VLAN 10 connected by a trunk link and Host B's MAC is unknown to SW1?,Host A sends a tagged frame; SW1 strips the tag; SW2 looks up the destination MAC and forwards to Host B,Host A sends a unicast frame; SW1 checks its MAC table; finds Host B unknown; floods within VLAN 10 including out the trunk (802.1Q-tagged); SW2 receives the tagged frame; recognizes it as VLAN 10; floods it to all VLAN 10 ports; Host B replies; SW1 and SW2 both learn Host B's MAC,SW1 queries SW2's MAC table over the trunk before forwarding to avoid flooding,Host A sends a broadcast which SW1 forwards untagged to SW2; SW2 converts it to unicast using its own MAC table,B,Event sequence: (1) SW1 receives frame from Host A on VLAN 10 access port; learns Host A MAC; (2) destination Host B MAC is unknown to SW1; (3) SW1 floods within VLAN 10 — includes all VLAN 10 access ports and the trunk; (4) frame exits SW1 trunk tagged 802.1Q VLAN 10; (5) SW2 receives tagged frame; VLAN 10 match; floods to all VLAN 10 access ports; (6) Host B receives; replies; (7) both switches learn Host B's MAC on its respective port.,switch learning,unknown unicast floods across trunk tagged; both switches learn source macs from reply,/home/citadel/Documents/citavault/NETC-121/Notes List A - Video Content/Video 17 - Trunking and 802.1Q/Transcript.md
hard,Why does a standard Layer 2 switch not need an IP address to forward Ethernet frames yet still requires one in practice?,Switches need an IP address because MAC address lookup is replaced by IP routing in the switch hardware,Switches need an IP address because 802.1Q tagging is an IP-layer operation requiring an IP source address in the tag,A switch forwards frames based on MAC addresses only and does not need an IP address to do so; however managed switches need a management IP address (configured on an SVI) to allow administrators to reach the switch remotely via Telnet or SSH for configuration and monitoring,Switches need an IP address only when VLANs are configured because VLAN frames require an IP header for VLAN ID resolution,C,Layer 2 forwarding is MAC-based — no IP needed. But without a management IP no one can SSH or Telnet to the switch to configure it; troubleshoot it; or monitor it remotely. Administrators configure an IP on the management VLAN SVI (interface vlan 1) and set a default gateway so the switch is reachable from anywhere on the network.,managed switch addressing requirement,switch forwards by mac without ip but needs management ip for remote administration,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
hard,A network administrator realizes that the Cisco switch connecting the accounting VLAN to the rest of the network has its port in DTP auto mode. Accounting contains financial data. Describe the threat and the full remediation.,Change the native VLAN on the trunk and add a firewall ACL to block inter-VLAN accounting access,The threat is ARP poisoning; remediation is to enable dynamic ARP inspection on the accounting VLAN,The threat is an attacker on any port adjacent to accounting negotiating a trunk and receiving all accounting VLAN traffic; remediation: set all access ports to switchport mode access; set all trunk ports to switchport mode trunk and switchport nonegotiate; move native VLAN to an unused VLAN to prevent double-tag hopping,The threat is VTP revision number corruption; remediation is to set VTP transparent mode on the accounting switch,C,Threat: any device connected to an auto-mode port can trigger DTP trunk formation — including ports adjacent to accounting. Once trunked the attacker receives 802.1Q-tagged frames for all VLANs including accounting. Remediation: (1) switchport mode access on all access ports (disables DTP); (2) switchport mode trunk + switchport nonegotiate on all uplinks (disables DTP response); (3) change native VLAN to unused ID (prevents double-tagging attack).,vlan hopping attack,dtp auto on accounting ports enables trunk negotiation; fix by hard-coding access and nonegotiate,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
hard,Explain the full role of Ethernet frame screening on a shared hub segment and why switches fundamentally change the privacy model.,On a hub all devices process all frames and software decides which to keep; on a switch all devices still receive all frames but hardware discards non-matching frames before software can see them,On a hub any device can enter promiscuous mode and capture all traffic; on a switch frames are only forwarded to the destination port so a device in promiscuous mode on an access port sees only its own unicast traffic and broadcast/multicast — it cannot capture other unicast sessions,On a hub frames are encrypted so promiscuous mode reveals only garbled data; on a switch frames are cleartext but promiscuous mode is disabled in hardware,Hubs and switches provide identical privacy; the difference is only collision handling not frame distribution,B,Hub model: every frame reaches every NIC. NIC in promiscuous mode captures all of it. Any host can sniff any other. Switch model: the switch uses the MAC table to send unicast frames only to the destination port. A host in promiscuous mode on that port sees only: (1) frames addressed to it; (2) broadcasts; (3) flooded unknown unicast. It cannot see unicast sessions between other hosts. Fundamentally different privacy model.,security problem of shared media,switch sends unicast only to destination port so promiscuous mode cannot capture other sessions,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
hard,How does the VTP limitation that it does not assign access ports combine with the VTP revision risk to create a dangerous operational scenario?,These two limitations cancel each other out — VTP revision risk only applies when VTP assigns ports which it never does,VTP revision wipes the VLAN database silently; since VTP also assigns ports both the VLAN and port assignment are lost simultaneously; the network never recovers automatically,A used switch introduced with a higher revision number wipes the VLAN database on all VTP clients; port assignments (which VTP never managed) survive on each switch but now point to VLANs that no longer exist causing all access ports to become inactive in unknown VLANs,VTP revision risk does not apply when VLAN port assignment is manual because the switch detects a conflict,C,Combined effect: (1) Used switch introduced with high revision wipes VLAN database — all VLAN IDs and names deleted from all VTP clients; (2) Access port assignments (not managed by VTP; set manually) still reference the deleted VLAN IDs; (3) Ports referencing nonexistent VLANs become inactive — connected devices lose network access; (4) Administrator must recreate all VLANs and re-verify every port assignment across all switches.,vtp limitation,vtp revision wipe deletes vlans while manual port assignments reference deleted vlans causing outage,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
hard,An SFP module for 8 Gbps Fibre Channel is inserted into a switch's SFP port. A workstation using a standard copper 1 Gbps NIC is plugged into an access port on the same switch. Describe how the switch bridges these two media types.,The switch cannot bridge Fibre Channel and Ethernet because they are different Layer 2 protocols and require a gateway,The switch requires both ports to run at the same speed and automatically down-negotiates the SFP to 1 Gbps to match the workstation,The switch accepts frames from the copper 1 Gbps port; stores them in buffers; and forwards them using the SFP at 8 Gbps if the destination is reachable through that uplink; MAC-based forwarding decisions are media-independent,The switch merges both port speeds and allocates 4.5 Gbps to each link for fairness,C,The switch is media-independent at Layer 2. MAC-based forwarding works the same regardless of whether the physical layer is copper; fiber; or an SFP module. Frames arriving on the 1 Gbps copper port are stored in memory; the MAC table lookup identifies the egress port; frames are then transmitted on the 8 Gbps SFP. Buffering absorbs the speed difference.,bridge media conversion role,switch forwards by mac independent of media type; buffers handle speed differences between ports,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
hard,Describe a scenario where the same physical department needs devices in two different VLANs and explain the design and operational implications.,Two VLANs on same ports is impossible; VLANs are physical and each port can only carry one department's traffic,One switch can only hold one VLAN so the department would need two physical switches,A device can only belong to one access VLAN — the administrator must decide which VLAN each device belongs to by port assignment; if a device legitimately needs to communicate in both VLANs it requires a trunk NIC or two physical connections; alternatively the router provides routed access between VLANs,Two VLANs in one physical department require duplicate cabling because VLAN tags are stripped before reaching the device,C,Access ports carry one VLAN. If a device needs to be in two VLANs it needs either: (1) a trunk NIC (802.1Q-capable server NIC configured with subinterfaces); or (2) two physical connections each to a different VLAN. Ordinary workstations cannot be in two VLANs simultaneously. Typically departments are mapped to one VLAN and inter-VLAN routing provides cross-department access.,port-membership result,access ports carry one vlan; dual-vlan devices need trunk nic or two physical connections,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
hard,A network admin attempts to configure SSH on a new Cisco switch but gets an error that RSA keys cannot be generated. What prerequisites are most likely missing?,The switch is missing a management IP and cannot generate RSA keys without a configured IP address,RSA key generation requires that VTP be set to server mode and the management VLAN be active,RSA key generation requires a hostname other than the default and an ip domain-name to be configured; without these IOS cannot construct the key's distinguished name,RSA keys cannot be generated on Layer 2 switches; SSH is a router-only feature in Cisco IOS,C,Cisco IOS SSH RSA key generation requirement: the switch must have (1) a non-default hostname (crypto key generate rsa uses hostname as part of the key name) and (2) an ip domain-name configured. Without both IOS refuses to generate RSA keys. Additionally the switch needs an IP on a management SVI and VTY lines configured for transport input ssh.,ssh purpose in networking,ssh rsa key generation requires hostname and ip domain-name before crypto key generate rsa,/home/citadel/Documents/citavault/NETC-121/Notes List A - Video Content/Video 10 - Telnet and SSH/Transcript.md
hard,What is the exact security difference between VTP transparent mode and VTP client mode and when would an administrator choose transparent mode?,VTP transparent mode and client mode are identical; the only difference is that transparent mode requires manual VLAN creation while client mode accepts VTP updates,VTP transparent mode receives VTP updates from the server and stores them locally but does not apply them to its VLAN database; client mode applies updates and also forwards them,VTP transparent mode does not synchronize with the VTP domain — it maintains its own independent VLAN database and forwards VTP messages without applying them; client mode accepts and applies VTP updates; transparent mode is chosen when the switch should not risk receiving a revision-number wipe,VTP transparent mode is only available on Layer 3 switches; Layer 2 switches must use client or server mode,C,VTP transparent mode: switch passes VTP advertisements to adjacent switches (so they still reach clients) but does not apply them to its own VLAN database. It maintains a locally configured VLAN database independently. Used when: switch should be isolated from VTP revision-number wipeouts; or when the switch has unique local VLANs not in the domain database.,vtp,vtp transparent mode passes updates without applying them protecting local vlan database,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
hard,Describe the forwarding decision process a switch makes for a frame arriving on a trunk port with VLAN tag 30 destined for MAC AA-BB-CC-00-00-01 which is in the MAC table on an access port in VLAN 10.,The switch strips the tag; forwards the frame to the access port in VLAN 10 because the MAC matches regardless of VLAN,The switch performs NAT between VLAN 30 and VLAN 10 allowing the frame to cross VLAN boundaries,The switch drops the frame because the destination MAC is in VLAN 10 but the incoming frame is tagged VLAN 30 — MAC table entries are VLAN-scoped and the frame cannot cross VLAN boundaries at Layer 2,The switch copies the frame to all ports in VLAN 30 and all ports in VLAN 10 to ensure delivery,C,MAC tables are VLAN-scoped. The switch looks up AA-BB-CC-00-00-01 in VLAN 30's table. That MAC is registered in VLAN 10 — not VLAN 30. The lookup finds no match in VLAN 30. The switch either floods within VLAN 30 (unknown unicast) or drops if the destination MAC genuinely does not exist in VLAN 30. It never crosses to VLAN 10 without routing.,layer 2 scope,mac table is vlan-scoped; frame tagged vlan 30 cannot be forwarded to vlan 10 mac entry,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
hard,What is the fundamental reason that Ethernet replaced ARCNET and Token Ring and what characteristics made it win?,Ethernet won because it was the only standard that supported fiber optic cables while ARCNET and Token Ring required coaxial,Ethernet won because it used token passing which was more efficient than ARCNET's bus topology,Ethernet's combination of relatively simple design; adaptability to higher speeds over decades; cost advantages from commodity hardware production; and eventual support for both copper and fiber gave it commercial and technical advantages that displaced both ARCNET and Token Ring,Ethernet won because it was mandated by U.S. government procurement policy which forced adoption across the industry,C,Ethernet's architecture scaled from 10 Mbps (1980) through 100 Mbps; 1 Gbps; 10 Gbps; and beyond over decades. Each speed generation used the same framing format enabling backward compatibility. Volume production drove costs down. ARCNET was slower and Token Ring more expensive. Ethernet absorbed these markets by being good enough and cheap enough.,ethernet historical note,ethernet won through scalability cost and compatibility advantages over arcnet and token ring,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
hard,A routed network has two subnets: 10.0.100.0/24 and 192.168.0.0/24. Host A (10.0.100.5) sends a packet to Host B (192.168.0.20). Describe every Layer 2 and Layer 3 event from Host A's perspective through the router to Host B.,Host A sends a frame directly to Host B's MAC which the switch looks up and forwards across subnets without a router,Host A sends an IP packet with Host B's MAC as destination; the router accepts it and replaces the source IP with its own,Host A ARPs for gateway MAC; sends frame with router MAC and Host B's IP to router's local interface; router receives; strips L2; routes to 192.168.0.0/24; ARPs for Host B MAC on that subnet; sends new frame with router source MAC and Host B destination MAC carrying original IP packet with unchanged source/destination IPs,Host A sends the packet to the DNS server which resolves 192.168.0.20 to Host B's MAC before forwarding to the router,C,Full path: (1) Host A needs to reach 192.168.0.20 — off-subnet so it sends to default gateway; (2) Host A ARPs for gateway IP on 10.0.100.0/24; gets router MAC; (3) Host A sends Ethernet frame: dst=router MAC; src=Host A MAC; IP dst=192.168.0.20; (4) router receives; strips Ethernet; makes IP route decision for 192.168.0.0/24 → exits on the 192.168.0.x interface; (5) router ARPs for Host B; gets Host B MAC; (6) router sends frame: dst=Host B MAC; src=router MAC (on this interface); IP src=10.0.100.5; IP dst=192.168.0.20 unchanged.,basic routed path logic,host arps gateway; sends to router mac; router re-encapsulates with destination host mac per-subnet,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
hard,Why does VTP actually increase operational risk for many enterprise networks even though it is designed to reduce administrative burden?,VTP increases risk because it requires ISL trunking which is less stable than 802.1Q for VLAN propagation,VTP increases risk because VLAN names in the VTP database are case-sensitive causing mismatches that drop all VLAN traffic,VTP's revision number synchronization mechanism means that a single rogue or misconfigured switch with a higher revision number can instantaneously overwrite the VLAN database across the entire domain; this risk often outweighs the benefit of automated VLAN propagation in large production networks,VTP increases risk because it requires all switches to be in VTP server mode simultaneously creating conflicting VLAN database versions,C,VTP revision wipeout risk: any switch that joins the VTP domain with a higher revision number (common on used equipment or test switches) automatically becomes authoritative. All VTP clients accept its database — even if that database deletes production VLANs. In large environments with hundreds of switches and thousands of users the risk of one such event causing a widespread outage is significant. Many enterprises disable VTP (transparent mode everywhere) and manage VLANs manually or via automation.,vtp limitation,vtp revision wipeout risk often outweighs automation benefit in large production networks,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
hard,What happens when a switch receives a frame and the source MAC address is already in the MAC table but associated with a different port than the incoming frame's port?,The switch drops the frame because MAC address conflicts are not permitted in the MAC table,The switch updates the MAC table to associate the MAC address with the new ingress port overwriting the previous entry — this is normal behavior for mobile devices but could also indicate MAC spoofing or a topology change,The switch sends an alert to the network management system and quarantines both ports until an administrator resolves the conflict,The switch maintains both entries and uses round-robin forwarding for subsequent frames to that MAC,B,MAC address tables are not permanent. When a frame arrives with a source MAC that already exists in the table but on a different port the switch updates the entry to the new port. Legitimate reasons: device moved to a different switch port; laptop reconnected to different location. Suspicious reason: MAC spoofing or MAC flapping due to a loop. Rapid flapping of the same MAC across ports is a sign of a loop or attack.,learning definition,switch updates mac table to new port when known mac arrives on different port,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
hard,A switch has a 512 KB frame buffer. Sustained high-speed bursts from multiple ports destined for one slow port cause the buffer to fill. What happens and what design change addresses this?,Frames are delayed proportionally and all ports slow to the speed of the bottleneck port automatically,When the buffer fills new incoming frames for that destination port are dropped; design fix: increase the slow port's speed (upgrade to faster link) or implement QoS traffic shaping to prioritize critical traffic and control burst impact,Buffer overflow redirects excess frames to the CPU for software forwarding which is slower but prevents drops,The switch broadcasts overflow frames to all ports to prevent loss,B,Switch buffers are finite. When sustained input to a slow egress port exceeds buffer capacity new arriving frames are tail-dropped (discarded). Solutions: (1) faster egress port eliminates the bottleneck; (2) QoS queuing policies can prioritize higher-value traffic for the buffer space that remains; (3) traffic engineering to load-spread across multiple paths.,switch buffering,buffer overflow causes frame drops; fix by upgrading slow port speed or adding qos,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
hard,Describe the complete design of a small office network with three departments (Sales; IT; Finance) where each department must be isolated at Layer 2 but all must access the internet through one router.,Sales and IT and Finance each get their own physical switch; the three switches connect to the router on separate ports; no trunking needed,All three departments use one flat VLAN; NAT isolation at the router provides department separation,Assign Sales to VLAN 10; IT to VLAN 20; Finance to VLAN 30 on a managed switch; configure a trunk link from the switch to the router; configure router subinterfaces (fa0/0.10; fa0/0.20; fa0/0.30) with encapsulation dot1Q and a unique gateway IP per VLAN; router NATs all three VLANs through one public IP to the internet,Use one unmanaged switch with all ports in VLAN 1; configure ACLs on the router to simulate department separation,C,Design: (1) managed switch with VLANs 10; 20; 30; (2) assign Sales ports to VLAN 10; IT to VLAN 20; Finance to VLAN 30; (3) router-on-a-stick trunk from switch to router; (4) router subinterfaces for each VLAN with their respective gateway IPs and encapsulation dot1Q; (5) router applies NAT outbound to the internet. Layer 2 isolation by VLAN; Layer 3 routing by router; internet access by NAT.,router-on-a-stick definition,vlan per department plus router-on-a-stick provides l2 isolation and shared internet via nat,/home/citadel/Documents/citavault/NETC-121/Notes List A - Video Content/Video 16 - VLANs Made Easy/Transcript.md
